"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R11,R1";"R_0402_1005Metric";2;"4.7k";;;
2;"C10";"C_0603_1608Metric";1;"1uF";;;
3;"R10";"R_0402_1005Metric";1;"2.2k";;;
4;"C6,C9,C2,C8";"C_0402_1005Metric";4;"0.1uF";;;
5;"R2";"R_0402_1005Metric";1;"10k";;;
6;"J1,J2";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
7;"C7,C5,C1";"C_0805_2012Metric";3;"22uF";;;
8;"R4";"R_0402_1005Metric";1;"100k";;;
9;"C4";"C_0402_1005Metric";1;"33pF";;;
10;"U3";"TSOT-23-6";1;"AP62250WU";;;
11;"R5,R9,R7,R6,R8";"R_0402_1005Metric";5;"22";;;
12;"L1";"L_1210_3225Metric";1;"2.2uH";;;
13;"Q1";"SOT-23";1;"NPN";;;
14;"J_RF1";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"Conn_Coaxial_Small";;;
15;"D3,D1,D4";"D_SOD-123";3;"SMF15A";;;
16;"TP2,TP4,TP6,TP5,TP3,TP1";"TestPoint_Pad_D1.0mm";6;"TestPoint";;;
17;"U_UART_LS1";"SOIC-14_3.9x8.7mm_P1.27mm";1;"TXS0104ED";;;
18;"R3";"R_0402_1005Metric";1;"374k";;;
19;"C3";"C_0402_1005Metric";1;"10pF";;;
20;"D2";"LED_0201_0603Metric";1;"LED";;;
21;"J_SIM1";"JAE_SIM_Card_SF72S006";1;"JAE_SIM_Card_SF72S006";;;
22;"R12";"R_0402_1005Metric";1;"47k";;;
23;"U1";"C16QS";1;"~";;;
24;"J_UART1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
